,OrderDetailID,OrderID,ProductID,Quantity
0,1,10248,11,12
1,2,10248,42,10
2,3,10248,72,5
3,4,10249,14,9
4,5,10249,51,40
5,6,10250,41,10
6,7,10250,51,35
7,8,10250,65,15
8,9,10251,22,6
9,10,10251,57,15
10,11,10251,65,20
11,12,10252,20,40
12,13,10252,33,25
13,14,10252,60,40
14,15,10253,31,20
15,16,10253,39,42
16,17,10253,49,40
17,18,10254,24,15
18,19,10254,55,21
19,20,10254,74,21
20,21,10255,2,20
21,22,10255,16,35
22,23,10255,36,25
23,24,10255,59,30
24,25,10256,53,15
25,26,10256,77,12
26,27,10257,27,25
27,28,10257,39,6
28,29,10257,77,15
29,30,10258,2,50
30,31,10258,5,65
31,32,10258,32,6
32,33,10259,21,10
33,34,10259,37,1
34,35,10260,41,16
35,36,10260,57,50
36,37,10260,62,15
37,38,10260,70,21
38,39,10261,21,20
39,40,10261,35,20
40,41,10262,5,12
41,42,10262,7,15
42,43,10262,56,2
43,44,10263,16,60
44,45,10263,24,28
45,46,10263,30,60
46,47,10263,74,36
47,48,10264,2,35
48,49,10264,41,25
49,50,10265,17,30
50,51,10265,70,20
51,52,10266,12,12
52,53,10267,40,50
53,54,10267,59,70
54,55,10267,76,15
55,56,10268,29,10
56,57,10268,72,4
57,58,10269,33,60
58,59,10269,72,20
59,60,10270,36,30
60,61,10270,43,25
61,62,10271,33,24
62,63,10272,20,6
63,64,10272,31,40
64,65,10272,72,24
65,66,10273,10,24
66,67,10273,31,15
67,68,10273,33,20
68,69,10273,40,60
69,70,10273,76,33
70,71,10274,71,20
71,72,10274,72,7
72,73,10275,24,12
73,74,10275,59,6
74,75,10276,10,15
75,76,10276,13,10
76,77,10277,28,20
77,78,10277,62,12
78,79,10278,44,16
79,80,10278,59,15
80,81,10278,63,8
81,82,10278,73,25
82,83,10279,17,15
83,84,10280,24,12
84,85,10280,55,20
85,86,10280,75,30
86,87,10281,19,1
87,88,10281,24,6
88,89,10281,35,4
89,90,10282,30,6
90,91,10282,57,2
91,92,10283,15,20
92,93,10283,19,18
93,94,10283,60,35
94,95,10283,72,3
95,96,10284,27,15
96,97,10284,44,21
97,98,10284,60,20
98,99,10284,67,5
99,100,10285,1,45
100,101,10285,40,40
101,102,10285,53,36
102,103,10286,35,100
103,104,10286,62,40
104,105,10287,16,40
105,106,10287,34,20
106,107,10287,46,15
107,108,10288,54,10
108,109,10288,68,3
109,110,10289,3,30
110,111,10289,64,9
111,112,10290,5,20
112,113,10290,29,15
113,114,10290,49,15
114,115,10290,77,10
115,116,10291,13,20
116,117,10291,44,24
117,118,10291,51,2
118,119,10292,20,20
119,120,10293,18,12
120,121,10293,24,10
121,122,10293,63,5
122,123,10293,75,6
123,124,10294,1,18
124,125,10294,17,15
125,126,10294,43,15
126,127,10294,60,21
127,128,10294,75,6
128,129,10295,56,4
129,130,10296,11,12
130,131,10296,16,30
131,132,10296,69,15
132,133,10297,39,60
133,134,10297,72,20
134,135,10298,2,40
135,136,10298,36,40
136,137,10298,59,30
137,138,10298,62,15
138,139,10299,19,15
139,140,10299,70,20
140,141,10300,66,30
141,142,10300,68,20
142,143,10301,40,10
143,144,10301,56,20
144,145,10302,17,40
145,146,10302,28,28
146,147,10302,43,12
147,148,10303,40,40
148,149,10303,65,30
149,150,10303,68,15
150,151,10304,49,30
151,152,10304,59,10
152,153,10304,71,2
153,154,10305,18,25
154,155,10305,29,25
155,156,10305,39,30
156,157,10306,30,10
157,158,10306,53,10
158,159,10306,54,5
159,160,10307,62,10
160,161,10307,68,3
161,162,10308,69,1
162,163,10308,70,5
163,164,10309,4,20
